"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-12"",5.543158,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-01"",5.405476,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-02"",5.32125,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-03"",5.130682,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-04"",5.577222,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-05"",5.943478,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-06"",5.89675,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-07"",6.086364,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-08"",5.761522,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-09"",5.57825,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-10"",5.407609,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-11"",5.457727,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2001-12"",5.816842,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-01"",5.858333,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-02"",5.94575,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-03"",6.309,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-04"",6.294,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-05"",6.215218,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-06"",6.007632,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-07"",5.859783,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-08"",5.648409,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-09"",5.435714,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-10"",5.659131,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-11"",5.499524,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2002-12"",5.395,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-01"",5.275,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-02"",5.16775,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-03"",5.271667,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-04"",5.346053,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-05"",5.028182,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-06"",4.80275,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-07"",5.232826,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-08"",5.524048,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-09"",5.512955,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-10"",5.608696,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-11"",5.874,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2003-12"",5.757381,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-01"",5.7005,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-02"",5.6205,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-03"",5.415435,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-04"",5.803,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-05"",5.958095,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-06"",5.845476,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-07"",5.717727,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-08"",5.583182,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-09"",5.412045,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-10"",5.401429,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-11"",5.4,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2004-12"",5.231905,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-01"",5.351842,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-02"",5.39775,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-03"",5.652619,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-04"",5.472,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-05"",5.287727,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-06"",5.140476,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-07"",5.190238,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-08"",5.218696,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-09"",5.186364,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-10"",5.400238,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-11"",5.435227,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2005-12"",5.3465,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-01"",5.2035,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-02"",5.272,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-03"",5.341304,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-04"",5.579706,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-05"",5.75,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-06"",5.737857,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-07"",5.834048,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-08"",5.773261,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-09"",5.601666,"
